Country,Happiness Score_2015,Happiness Score_2016,Happiness Score_2017,Happiness Score_2018,Happiness Score_2019
Denmark,7.527,7.526,7.52199983596802,7.555,7.6
Norway,7.522,7.497999999999998,7.537000179290769,7.5939999999999985,7.5539999999999985
Finland,7.4060000000000015,7.4129999999999985,7.468999862670901,7.6320000000000014,7.769
Switzerland,7.5870000000000015,7.508999999999999,7.49399995803833,7.487,7.48
Iceland,7.561,7.501,7.50400018692017,7.495,7.494
Netherlands,7.377999999999999,7.338999999999999,7.3769998550415,7.441,7.487999999999999
Canada,7.427,7.404,7.31599998474121,7.3279999999999985,7.278
Sweden,7.364,7.291,7.28399991989136,7.314,7.343
New Zealand,7.286,7.334,7.31400012969971,7.324,7.307
Australia,7.284,7.313,7.28399991989136,7.272,7.228
