,Country,Happiness Score_2015,Family_2015,Happiness Score_2016,Family_2016,Happiness Score_2017,Family_2017,Happiness Score_2018,Family_2018,Happiness Score_2019,Family_2019
0,Switzerland,7.587000000000001,1.34951,7.5089999999999995,1.14524,7.49399995803833,1.51691174507141,7.487,1.5490000000000002,7.48,1.526
1,Iceland,7.561,1.4022299999999999,7.501,1.18326,7.50400018692017,1.6105740070343,7.495,1.6440000000000001,7.494,1.624
2,Denmark,7.527,1.36058,7.526,1.16374,7.52199983596802,1.55112159252167,7.555,1.59,7.6,1.5730000000000002
3,Norway,7.522,1.33095,7.497999999999999,1.1269,7.537000179290769,1.53352355957031,7.593999999999999,1.5819999999999999,7.553999999999999,1.5819999999999999
4,Canada,7.4270000000000005,1.32261,7.404,1.0961,7.31599998474121,1.48134899139404,7.327999999999999,1.5319999999999998,7.278,1.505
5,Finland,7.406000000000001,1.31826,7.412999999999999,1.1346399999999999,7.468999862670901,1.5402467250824,7.632000000000001,1.5919999999999999,7.769,1.587
6,Netherlands,7.377999999999999,1.28017,7.3389999999999995,1.02912,7.3769998550415,1.42893922328949,7.441,1.4880000000000002,7.4879999999999995,1.5219999999999998
7,Sweden,7.364,1.2890700000000002,7.291,1.08764,7.28399991989136,1.47816216945648,7.314,1.501,7.343,1.4869999999999999
8,New Zealand,7.2860000000000005,1.3196700000000001,7.334,1.17278,7.31400012969971,1.54819512367249,7.324,1.601,7.307,1.557
9,Australia,7.284,1.30923,7.313,1.10476,7.28399991989136,1.5100419521331798,7.272,1.5730000000000002,7.228,1.548
10,Israel,7.278,1.22393,7.267,0.9953700000000001,7.212999820709231,1.37628996372223,6.814,1.5590000000000002,7.138999999999999,1.455
11,Costa Rica,7.226,1.2378799999999999,7.087000000000001,1.02152,7.0789999961853,1.4164036512374898,7.072,1.459,7.167000000000001,1.4409999999999998
12,Austria,7.2,1.29704,7.119,1.0838299999999998,7.00600004196167,1.4599449634552,7.138999999999999,1.504,7.246,1.475
13,Mexico,7.187,0.91451,6.778,0.7146,6.57800006866455,1.2108621597290001,6.4879999999999995,1.252,6.595,1.3230000000000002
14,United States,7.119,1.24711,7.104,1.04782,6.993000030517581,1.4199205636978103,6.886,1.4709999999999999,6.892,1.4569999999999999
15,Brazil,6.983,1.2328700000000001,6.952000000000001,1.03938,6.6350002288818395,1.43130600452423,6.419,1.474,6.3,1.439
16,Luxembourg,6.946000000000001,1.21963,6.871,1.03999,6.86299991607666,1.45758366584778,6.91,1.52,7.09,1.479
17,Ireland,6.94,1.36948,6.907,1.16157,6.9770002365112305,1.5582311153411899,6.977,1.5830000000000002,7.021,1.5530000000000002
18,Belgium,6.937,1.28566,6.928999999999999,1.05249,6.89099979400635,1.4623126983642598,6.9270000000000005,1.483,6.922999999999999,1.504
19,United Arab Emirates,6.901,1.12575,6.5729999999999995,0.8711399999999999,6.6479997634887695,1.2664102315902699,6.774,0.7759999999999999,6.825,1.31
20,United Kingdom,6.867000000000001,1.28548,6.725,1.0867200000000001,6.71400022506714,1.4964600801467902,7.19,1.433,7.053999999999999,1.538
21,Oman,6.853,1.08182,,,,,,,,
22,Venezuela,6.81,1.25596,6.084,1.03302,5.25,1.43133759498596,4.806,1.469,4.707,1.4269999999999998
